id_persona,edad,ciudad,país,lenguajes_dominio,frameworks_dominio,certificaciones,años_experiencia,nivel_educativo,área_trabajo_actual,salario_actual_usd,source
PER-90207,26.0,Barcelona,España,Scala|Java,.NET|Spring,GCP ACE|AWS CCP,4.0,Técnico,Frontend,26254.0,profiles
PER-90208,39.0,Valencia,España,C#|TypeScript,Spark|.NET,GCP ACE,2.0,Autodidacta,IA,39317.0,profiles
PER-90209,26.0,New York,USA,C#|Kotlin,Angular,Cisco CCNA|AWS CCP,0.0,Tecnólogo,Frontend,60611.0,profiles
PER-90210,31.0,???,Argentina,Go|Swift|Java,FastAPI,AWS CCP|Scrum Master,4.0,Posgrado,Data Science,15368.0,profiles
PER-90211,23.0,Córdoba,Argentina,Scala|Kotlin,.NET|React,Cisco CCNA,3.0,Pregrado,Data Science,21234.0,profiles
PER-90212,29.0,Valencia,España,javascript|scala,Node.js,GCP ACE,1.0,Autodidacta,Backend,57709.0,profiles
PER-90213,22.0,Puebla,México,Java,Node.js,AWS CCP|Azure Fundamentals,1.0,Pregrado,Frontend,15.986,profiles
PER-90214,32.0,Barcelona,España,PHP|TypeScript,FastAPI,Azure Fundamentals|AWS CCP,3.0,Posgrado,Ciberseguridad,59253.0,profiles
PER-90215,22.0,Cusco,Perú,Python|Go|Scala,.NET|FastAPI,Scrum Master,4.0,Técnico,Data Science,13688.0,profiles
PER-90216,24.0,Medellín,Colombia,R,Flask|Node.js,None|AWS CCP,1.0,Pregrado,Frontend,13067.0,profiles
PER-90217,25.0,Córdoba,Argentina,Kotlin,Node.js|React,Scrum Master,3.0,Pregrado,Data Science,16.054,profiles
PER-90218,28.0,Buenos Aires,Argentina,python|php,Angular|Node.js,AWS CCP,2.0,Técnico,Data Science,20748.0,profiles
PER-90219,26.0,Concepción,Chile,python|java|r,Spring|Django,Azure Fundamentals|None,0.0,Pregrado,Ciberseguridad,31625.0,profiles
PER-90220,28.0,New York,USA,R|Go,Angular|Django,Azure Fundamentals|GCP ACE,3.0,Posgrado,IA,120713.0,profiles
PER-90221,31.0,BOGOTÁ,Colombia,Kotlin,Vue|React,GCP ACE|Scrum Master,0.0,Técnico,Cloud,10404.0,profiles
PER-90222,36.0,Santiago,Chile,Go|C#,Spark,AWS CCP|None,1.0,Tecnólogo,Cloud,32.941,profiles
PER-90223,23.0,Puebla,México,Swift|Kotlin,Vue,Cisco CCNA,2.0,Tecnólogo,BI/Analytics,17917.0,profiles
PER-90224,31.0,Miami,USA,C#|JavaScript,Spark,GCP ACE,4.0,Tecnólogo,Data Science,70943.0,profiles
PER-90225,30.0,CDMX,México,r|c#|scala,Angular,Scrum Master,4.0,Posgrado,IA,19.639,profiles
PER-90226,18.0,Madrid,España,PHP|C#,FastAPI|React,Scrum Master,0.0,Posgrado,DevOps,17.824,profiles
PER-90227,42.0,CDMX,México,PHP|Java,Spark,AWS CCP|Cisco CCNA,3.0,Autodidacta,BI/Analytics,26987.0,profiles
PER-90228,34.0,Bogotá,Colombia,Kotlin|TypeScript,Angular,AWS CCP|Scrum Master,5.0,Pregrado,Data Science,11565.0,profiles
PER-90229,25.0,Cusco,Perú,Scala,Angular|Spark,Scrum Master,5.0,Autodidacta,IA,14225.0,profiles
PER-90230,26.0,Valencia,España,JavaScript|Kotlin,Django|Node.js,Unknown,3.0,Tecnólogo,IA,38342.0,profiles
PER-90231,29.0,Cartagena,Colombia,PHP|TypeScript|C#,Spring|Spark,Azure Fundamentals,3.0,Pregrado,Backend,16494.0,profiles
PER-90232,,San Francisco,USA,Scala|C#|R,Angular|FastAPI,AWS CCP|Cisco CCNA,0.0,Posgrado,Cloud,89461.0,profiles
PER-90233,23.0,???,España,R|PHP,Laravel|FastAPI,Azure Fundamentals|GCP ACE,0.0,Autodidacta,Backend,40856.0,profiles
PER-90234,37.0,Valparaíso,Chile,go|c#|r,Flask,AWS CCP|Azure Fundamentals,4.0,Técnico,Ciberseguridad,30026.0,profiles
PER-90235,27.0,Lima,Perú,Go|Python,Spring|Spark,None|AWS CCP,8.0,Técnico,IA,20.614,profiles
PER-90236,27.0,San Francisco,USA,kotlin|typescript,Angular,AWS CCP,4.0,Autodidacta,BI/Analytics,64561.0,profiles
PER-90237,20.0,Bucaramanga,Colombia,PHP|Swift,Laravel|Spark,None|GCP ACE,0.0,Posgrado,Data Science,22117.0,profiles
PER-90238,28.0,Barcelona,España,C#,Laravel|Django,Cisco CCNA,6.0,Tecnólogo,Data Science,36.576,profiles
PER-90239,32.0,bogotá,Colombia,c#|kotlin|php,FastAPI|Flask,Azure Fundamentals,3.0,Tecnólogo,Backend,18957.0,profiles
PER-90240,30.0,Arequipa,Perú,TypeScript|Kotlin,Flask|Django,Azure Fundamentals,0.0,Pregrado,Backend,29201.0,profiles
PER-90241,30.0,seattle,USA,C#,Spark|Laravel,GCP ACE,5.0,Posgrado,Cloud,123828.0,profiles
PER-90242,22.0,guadalajara,México,Python|Scala|Java,Node.js|Laravel,None|Scrum Master,2.0,Técnico,DevOps,16626.0,profiles
PER-90243,37.0,Lima,Perú,TypeScript|Java,Django,GCP ACE,0.0,Pregrado,Backend,16176.0,profiles
PER-90244,29.0,Valencia,España,r|typescript,Django,Cisco CCNA,2.0,Autodidacta,Frontend,26.973,profiles
PER-90245,30.0,Rosario,Argentina,C#|Java,.NET|Vue,Cisco CCNA,5.0,Autodidacta,Data Science,19690.0,profiles
PER-90246,34.0,Buenos Aires,Argentina,Python|Java,.NET|Spring,Azure Fundamentals,0.0,Autodidacta,Cloud,24323.0,profiles
PER-90247,32.0,Arequipa,Perú,Go|PHP,Angular,Cisco CCNA|AWS CCP,2.0,Tecnólogo,Ciberseguridad,9668.0,profiles
PER-90248,37.0,Rosario,Argentina,C#,Laravel|FastAPI,AWS CCP,0.0,Tecnólogo,BI/Analytics,23137.0,profiles
PER-90249,25.0,ROSARIO,Argentina,Kotlin|PHP,Spring|Django,Scrum Master,1.0,Pregrado,IA,14518.0,profiles
PER-90250,24.0,Miami,USA,C#,Laravel|React,AWS CCP,3.0,Tecnólogo,IA,72286.0,profiles
PER-90251,31.0,Cali,Colombia,Kotlin|Swift|JavaScript,Vue,GCP ACE,3.0,Posgrado,BI/Analytics,11.309,profiles
PER-90252,40.0,Valparaíso,Chile,r|javascript,FastAPI|Django,AWS CCP,1.0,Autodidacta,Data Science,17.505,profiles
PER-90253,35.0,???,Chile,Kotlin|Java|PHP,Node.js|Laravel,AWS CCP,3.0,Técnico,Backend,34751.0,profiles
PER-90254,31.0,Rosario,Argentina,Scala|C#,Spark|Spring,GCP ACE|None,2.0,Tecnólogo,BI/Analytics,27015.0,profiles
PER-90255,21.0,Miami,USA,Go,FastAPI,Scrum Master|Cisco CCNA,2.0,Pregrado,Backend,82550.0,profiles
PER-90256,18.0,Barranquilla,Colombia,typescript|php,Angular|Vue,GCP ACE,4.0,Posgrado,Backend,17924.0,profiles
PER-90257,27.0,Guadalajara,México,Scala|Swift,Angular|Spring,AWS CCP,5.0,Pregrado,Cloud,25674.0,profiles
PER-90258,25.0,valparaíso,Chile,php,Spring,Scrum Master,0.0,Tecnólogo,Cloud,34243.0,profiles
PER-90259,32.0,Arequipa,Perú,R|Swift|Scala,React|Laravel,None|AWS CCP,5.0,Pregrado,IA,15.373,profiles
PER-90260,31.0,Miami,USA,Java|PHP,Django,Cisco CCNA,5.0,Posgrado,IA,112343.0,profiles
PER-90261,27.0,Valparaíso,Chile,Java|Kotlin|PHP,Vue,Unknown,1.0,Autodidacta,BI/Analytics,17145.0,profiles
PER-90262,23.0,Santiago,Chile,C#|TypeScript,React,GCP ACE|Azure Fundamentals,3.0,Pregrado,Frontend,20.47,profiles
PER-90263,26.0,Guadalajara,México,R|PHP,Laravel|Angular,AWS CCP,5.0,Autodidacta,Cloud,23944.0,profiles
PER-90264,37.0,Puebla,México,Python|C#,Spring,Cisco CCNA,3.0,Tecnólogo,DevOps,17298.0,profiles
PER-90265,30.0,New York,USA,Java|Kotlin|C#,React,None|AWS CCP,5.0,Autodidacta,Cloud,110115.0,profiles
PER-90266,18.0,Valencia,España,JavaScript|C#|Scala,Spring,Unknown,0.0,Tecnólogo,Data Science,31334.0,profiles
PER-90267,33.0,Seattle,USA,javascript|kotlin,Spring,Unknown,2.0,Técnico,IA,114784.0,profiles
PER-90268,41.0,Sevilla,España,R|PHP,Laravel|.NET,AWS CCP|GCP ACE,2.0,Pregrado,IA,29069.0,profiles
PER-90269,26.0,???,USA,PHP|Kotlin,Django,Cisco CCNA|None,5.0,Tecnólogo,Cloud,,profiles
PER-90270,27.0,Lima,Perú,Swift|PHP,Spring,Azure Fundamentals,5.0,Autodidacta,Frontend,10753.0,profiles
PER-90271,18.0,Concepción,Chile,Kotlin,Vue,Scrum Master,4.0,Pregrado,Data Science,19023.0,profiles
PER-90272,,Monterrey,México,JavaScript|C#,Spark|Flask,AWS CCP|Cisco CCNA,4.0,Pregrado,IA,17909.0,profiles
PER-90273,36.0,Monterrey,México,R|TypeScript,Spring|.NET,Scrum Master,1.0,Tecnólogo,BI/Analytics,22046.0,profiles
PER-90274,32.0,Bucaramanga,Colombia,Scala|C#,Angular,Unknown,0.0,Posgrado,Ciberseguridad,17716.0,profiles
PER-90275,32.0,New York,USA,JavaScript,Vue,AWS CCP|GCP ACE,3.0,Pregrado,Backend,81777.0,profiles
PER-90276,33.0,Puebla,México,R|TypeScript,Laravel|Angular,Cisco CCNA,3.0,Autodidacta,Cloud,20832.0,profiles
PER-90277,26.0,Sevilla,España,R|C#,Laravel|.NET,Azure Fundamentals|Scrum Master,5.0,Autodidacta,Ciberseguridad,31.844,profiles
PER-90278,26.0,Puebla,México,Go|R|JavaScript,Django,Azure Fundamentals,3.0,Pregrado,Backend,21086.0,profiles
PER-90279,31.0,Rosario,Argentina,Java|R,FastAPI,None|Cisco CCNA,2.0,Autodidacta,DevOps,30990.0,profiles
PER-90280,18.0,Medellín,Colombia,TypeScript|Java,React|.NET,Cisco CCNA,1.0,Pregrado,Cloud,8262.0,profiles
PER-90281,29.0,Guadalajara,México,php|python,Node.js|Angular,AWS CCP|None,2.0,Autodidacta,BI/Analytics,27796.0,profiles
PER-90282,30.0,Rosario,Argentina,go|python,Spark,Cisco CCNA,3.0,Tecnólogo,BI/Analytics,17333.0,profiles
PER-90283,,???,Chile,swift|r,Node.js,Scrum Master,4.0,Pregrado,BI/Analytics,35554.0,profiles
PER-90284,27.0,Cartagena,Colombia,Kotlin|JavaScript|Python,React,Azure Fundamentals,6.0,Posgrado,IA,12.688,profiles
PER-90285,28.0,Puebla,México,Swift|PHP|C#,Spring|Node.js,Unknown,2.0,Autodidacta,Cloud,27.568,profiles
PER-90286,38.0,Barcelona,España,PHP|TypeScript|Python,.NET,Unknown,6.0,Pregrado,IA,56.527,profiles
PER-90287,27.0,bogotá,Colombia,Java,FastAPI,Azure Fundamentals|AWS CCP,0.0,Pregrado,Cloud,22.125,profiles
PER-90288,39.0,Cusco,Perú,TypeScript|PHP,React,Scrum Master,1.0,Autodidacta,Cloud,13838.0,profiles
PER-90289,37.0,Austin,USA,typescript|kotlin|scala,Node.js|Laravel,Scrum Master,4.0,Técnico,DevOps,97586.0,profiles
PER-90290,38.0,Miami,USA,Kotlin,Node.js|Spring,GCP ACE,1.0,Posgrado,Cloud,82604.0,profiles
PER-90291,31.0,Cartagena,Colombia,r|kotlin|php,Laravel,Unknown,5.0,Pregrado,Data Science,14775.0,profiles
PER-90292,21.0,Buenos Aires,Argentina,C#|Python|JavaScript,Spark|Node.js,Cisco CCNA,3.0,Autodidacta,Ciberseguridad,27927.0,profiles
PER-90293,26.0,CDMX,México,TypeScript,Laravel|Flask,Azure Fundamentals,3.0,Posgrado,Cloud,17.838,profiles
PER-90294,32.0,Santiago,Chile,JavaScript|TypeScript,FastAPI|Flask,Scrum Master,4.0,Pregrado,Backend,21784.0,profiles
PER-90295,32.0,Miami,USA,Swift|Go,Flask,GCP ACE,2.0,Autodidacta,Backend,,profiles
PER-90296,23.0,Lima,Perú,R|Swift,Django|Laravel,GCP ACE,2.0,Pregrado,Frontend,11593.0,profiles
PER-90297,26.0,CDMX,México,JavaScript|TypeScript|R,Vue|FastAPI,AWS CCP,1.0,Tecnólogo,DevOps,16255.0,profiles
PER-90298,35.0,Barranquilla,Colombia,Go|Scala|Python,.NET,AWS CCP,2.0,Tecnólogo,DevOps,8219.0,profiles
PER-90299,30.0,Santiago,Chile,Go|PHP,Laravel|Node.js,None|AWS CCP,4.0,Técnico,Cloud,32547.0,profiles
PER-90300,18.0,Austin,USA,swift|kotlin|c#,Node.js,Scrum Master,3.0,Técnico,Frontend,107652.0,profiles
PER-90301,29.0,Rosario,Argentina,PHP|Java|TypeScript,React,Azure Fundamentals|Scrum Master,4.0,Pregrado,Data Science,16017.0,profiles
PER-90302,25.0,Puebla,México,TypeScript|Java|JavaScript,FastAPI|React,Azure Fundamentals,3.0,Posgrado,Frontend,27865.0,profiles
PER-90303,37.0,Arequipa,Perú,C#,Spark|Laravel,AWS CCP,7.0,Técnico,DevOps,11790.0,profiles
PER-90304,38.0,Valparaiso,Chile,python,Vue|Spring,GCP ACE,6.0,Posgrado,Data Science,24383.0,profiles
PER-90305,24.0,Santiago,Chile,Kotlin,.NET,AWS CCP|GCP ACE,2.0,Posgrado,Ciberseguridad,33750.0,profiles
PER-90306,29.0,???,Colombia,Scala|PHP,Laravel|.NET,Cisco CCNA,0.0,Posgrado,IA,16350.0,profiles
PER-90307,20.0,Concepción,Chile,JavaScript|Java,Angular|FastAPI,AWS CCP|Cisco CCNA,4.0,Pregrado,Cloud,21865.0,profiles
PER-90308,28.0,Austin,USA,Swift|Scala,.NET|Django,Azure Fundamentals|GCP ACE,1.0,Autodidacta,DevOps,86407.0,profiles
PER-90309,26.0,???,España,TypeScript|Scala,Spark,Cisco CCNA|AWS CCP,3.0,Posgrado,Ciberseguridad,30946.0,profiles
PER-90310,36.0,Guadalajara,México,kotlin|c#,Vue,AWS CCP,5.0,Técnico,DevOps,31274.0,profiles
PER-90311,37.0,Austin,USA,Python|Go,FastAPI,GCP ACE,5.0,Técnico,Ciberseguridad,80881.0,profiles
PER-90312,27.0,???,Colombia,TypeScript|R|Go,Django|React,AWS CCP,1.0,Técnico,BI/Analytics,15.568,profiles
PER-90313,27.0,???,Perú,Kotlin|Swift|Java,Laravel|Vue,Azure Fundamentals,5.0,Tecnólogo,Frontend,13.769,profiles
PER-90314,30.0,Cartagena,Colombia,Python|JavaScript,React|Flask,GCP ACE|None,4.0,Pregrado,Ciberseguridad,11708.0,profiles
PER-90315,31.0,barcelona,España,JavaScript|Java|TypeScript,Vue,None|AWS CCP,2.0,Tecnólogo,BI/Analytics,41985.0,profiles
PER-90316,28.0,Medellín,Colombia,PHP|TypeScript|Kotlin,Spring|Node.js,GCP ACE|Scrum Master,4.0,Pregrado,Frontend,10.343,profiles
PER-90317,31.0,Cartagena,Colombia,Java|TypeScript,Laravel,GCP ACE|AWS CCP,1.0,Posgrado,Backend,9057.0,profiles
PER-90318,42.0,Valencia,España,scala|typescript|php,FastAPI|Vue,Unknown,0.0,Posgrado,IA,42226.0,profiles
PER-90319,23.0,???,Perú,PHP|Scala,FastAPI,GCP ACE,4.0,Autodidacta,Ciberseguridad,18026.0,profiles
PER-90320,34.0,Valencia,España,Swift|Scala,Laravel|Django,GCP ACE|Scrum Master,1.0,Autodidacta,Ciberseguridad,61.204,profiles
PER-90321,27.0,BARRANQUILLA,Colombia,Go,Node.js|.NET,GCP ACE,4.0,Pregrado,Backend,17770.0,profiles
PER-90322,28.0,Barcelona,España,R,Vue|Spark,Scrum Master,0.0,Pregrado,DevOps,40149.0,profiles
PER-90323,34.0,Rosario,Argentina,Python|JavaScript,React,AWS CCP|GCP ACE,0.0,Autodidacta,DevOps,17703.0,profiles
PER-90324,39.0,Cusco,Perú,Scala|Go,Vue|Laravel,GCP ACE,3.0,Tecnólogo,Ciberseguridad,14334.0,profiles
PER-90325,33.0,Concepción,Chile,Python|PHP,Django,None|Scrum Master,4.0,Pregrado,DevOps,22.409,profiles
PER-90326,26.0,Cali,Colombia,R|Java,FastAPI|.NET,Unknown,3.0,Autodidacta,Ciberseguridad,20918.0,profiles
PER-90327,26.0,Seattle,USA,Kotlin,FastAPI|Django,Azure Fundamentals,1.0,Técnico,Backend,79527.0,profiles
PER-90328,33.0,Madrid,España,JavaScript,Flask,None|AWS CCP,3.0,Tecnólogo,Backend,36968.0,profiles
PER-90329,31.0,medellín,Colombia,C#|R,Django,GCP ACE|AWS CCP,5.0,Técnico,Cloud,9099.0,profiles
PER-90330,27.0,CDMX,México,Go|Python|Kotlin,FastAPI,Cisco CCNA|None,1.0,Técnico,Backend,9617.0,profiles
PER-90331,30.0,Madrid,España,kotlin|python,Django,Cisco CCNA,2.0,Técnico,DevOps,37471.0,profiles
PER-90332,22.0,Barcelona,España,TypeScript,Django,Azure Fundamentals|Cisco CCNA,4.0,Autodidacta,DevOps,32618.0,profiles
PER-90333,30.0,Cartagena,Colombia,JavaScript|Scala,Laravel|Vue,Cisco CCNA,4.0,Tecnólogo,Frontend,10801.0,profiles
PER-90334,31.0,cusco,Perú,JavaScript|Go,Django,Cisco CCNA|Azure Fundamentals,6.0,Tecnólogo,IA,13842.0,profiles
PER-90335,36.0,Madrid,España,Go|TypeScript|JavaScript,Django,AWS CCP,2.0,Tecnólogo,Ciberseguridad,74863.0,profiles
PER-90336,28.0,???,Argentina,JavaScript|PHP|Go,React|.NET,Unknown,2.0,Pregrado,Data Science,36344.0,profiles
PER-90337,18.0,Santiago,Chile,Kotlin|Java,Node.js|Django,Azure Fundamentals|Cisco CCNA,5.0,Pregrado,DevOps,21335.0,profiles
PER-90338,28.0,santiago,Chile,TypeScript,Node.js|Flask,Scrum Master|Cisco CCNA,3.0,Pregrado,Backend,18636.0,profiles
PER-90339,26.0,Buenos Aires,Argentina,Swift,Node.js,None,2.0,Autodidacta,Frontend,24860.0,profiles
PER-90340,30.0,CDMX,México,Java|Go|C#,.NET|Angular,Unknown,6.0,Posgrado,Frontend,25815.0,profiles
PER-90341,,Arequipa,Perú,C#|JavaScript,Django,Cisco CCNA,3.0,Posgrado,Ciberseguridad,18231.0,profiles
PER-90342,27.0,Cusco,Perú,TypeScript,FastAPI,AWS CCP|GCP ACE,5.0,Tecnólogo,IA,13.773,profiles
PER-90343,38.0,Lima,Perú,PHP|Kotlin,React,Unknown,3.0,Pregrado,Ciberseguridad,26.476,profiles
PER-90344,21.0,BUCARAMANGA,Colombia,Swift|Kotlin,Node.js,AWS CCP,1.0,Tecnólogo,IA,13318.0,profiles
PER-90345,44.0,???,Chile,Kotlin|C#|PHP,Angular|Flask,Scrum Master,5.0,Posgrado,Backend,27051.0,profiles
PER-90346,31.0,monterrey,México,PHP|Go|JavaScript,Spark|FastAPI,Azure Fundamentals,3.0,Técnico,IA,32209.0,profiles
PER-90347,31.0,Cusco,Perú,Swift,Django|Spark,Scrum Master,0.0,Posgrado,IA,18115.0,profiles
PER-90348,34.0,Rosario,Argentina,scala|python|typescript,Django,Azure Fundamentals|Cisco CCNA,4.0,Tecnólogo,Backend,18680.0,profiles
PER-90349,39.0,San Francisco,USA,Scala,Vue,Cisco CCNA,5.0,Posgrado,Data Science,78471.0,profiles
PER-90350,30.0,Cartagena,Colombia,R|Scala|C#,Laravel|FastAPI,None|Azure Fundamentals,4.0,Tecnólogo,Cloud,19532.0,profiles
PER-90351,22.0,Miami,USA,c#|javascript|php,Angular,Azure Fundamentals,0.0,Tecnólogo,Backend,84831.0,profiles
PER-90352,29.0,Lima,Perú,Swift|Kotlin|JavaScript,FastAPI|React,Scrum Master,7.0,Autodidacta,Data Science,17783.0,profiles
PER-90353,18.0,CDMX,México,Go|Scala,Vue,Scrum Master|Azure Fundamentals,3.0,Posgrado,IA,20.116,profiles
PER-90354,,???,España,Python,React|Django,GCP ACE,3.0,Pregrado,Data Science,34.186,profiles
PER-90355,26.0,Valencia,España,Python|Swift|R,Laravel|React,Scrum Master|GCP ACE,4.0,Pregrado,IA,24.908,profiles
PER-90356,31.0,Santiago,Chile,php,.NET|Node.js,GCP ACE,2.0,Posgrado,DevOps,15501.0,profiles
PER-90357,24.0,Sevilla,España,python,Laravel|Django,GCP ACE|None,2.0,Técnico,Cloud,40359.0,profiles
PER-90358,22.0,San Francisco,USA,Scala|PHP,Node.js|Spring,GCP ACE,4.0,Tecnólogo,Backend,73959.0,profiles
PER-90359,24.0,Buenos Aires,Argentina,Scala,Django|React,Azure Fundamentals,3.0,Tecnólogo,Frontend,22361.0,profiles
PER-90360,29.0,Córdoba,Argentina,Java|Scala,Laravel|Node.js,AWS CCP|Scrum Master,4.0,Posgrado,Backend,32814.0,profiles
PER-90361,27.0,Valencia,España,JavaScript|Python,Flask,Azure Fundamentals,3.0,Autodidacta,Cloud,41.992,profiles
PER-90362,27.0,Concepción,Chile,C#|TypeScript,Django,GCP ACE,3.0,Técnico,Cloud,24245.0,profiles
PER-90363,25.0,Cali,Colombia,Python|Go|TypeScript,FastAPI|Spring,Cisco CCNA,5.0,Pregrado,DevOps,11608.0,profiles
PER-90364,34.0,Arequipa,Perú,JavaScript,Spark|FastAPI,GCP ACE|Cisco CCNA,0.0,Pregrado,BI/Analytics,20905.0,profiles
PER-90365,21.0,Arequipa,Perú,Scala,Spark|Vue,Cisco CCNA,5.0,Tecnólogo,Frontend,29145.0,profiles
PER-90366,34.0,Barcelona,España,R|Java|Kotlin,React|Flask,Unknown,3.0,Autodidacta,DevOps,26172.0,profiles
PER-90367,28.0,Arequipa,Perú,kotlin|python|java,Flask,Cisco CCNA|GCP ACE,2.0,Pregrado,BI/Analytics,31270.0,profiles
PER-90368,35.0,???,México,Swift|Python,Vue,Azure Fundamentals,3.0,Tecnólogo,Frontend,28188.0,profiles
PER-90369,27.0,Austin,USA,Swift|Java|TypeScript,FastAPI|React,Scrum Master|GCP ACE,5.0,Autodidacta,Cloud,66962.0,profiles
PER-90370,30.0,Córdoba,Argentina,Kotlin,Flask|Django,AWS CCP|Azure Fundamentals,0.0,Tecnólogo,DevOps,38.256,profiles
PER-90371,,Arequipa,Perú,Scala,Django|Flask,Azure Fundamentals|Scrum Master,0.0,Tecnólogo,Frontend,20867.0,profiles
PER-90372,28.0,Córdoba,Argentina,Go,Vue|Spark,AWS CCP,5.0,Técnico,Data Science,34.085,profiles
PER-90373,32.0,???,USA,C#,Laravel|Spark,GCP ACE,4.0,Pregrado,Data Science,,profiles
PER-90374,26.0,Madrid,España,Scala|R,Spark|Laravel,Azure Fundamentals,2.0,Pregrado,Frontend,34213.0,profiles
PER-90375,20.0,Austin,USA,C#|R|Swift,Laravel,AWS CCP,2.0,Pregrado,Data Science,122.935,profiles
PER-90376,25.0,Arequipa,Perú,Go|Scala,Spark|Django,Unknown,0.0,Tecnólogo,BI/Analytics,22572.0,profiles
PER-90377,33.0,???,Perú,Go,Node.js|Django,Scrum Master,2.0,Posgrado,Backend,19737.0,profiles
PER-90378,32.0,Valencia,España,Swift,Node.js|Django,Unknown,3.0,Posgrado,Backend,56108.0,profiles
PER-90379,27.0,Buenos Aires,Argentina,Scala|Go|C#,React|Django,Cisco CCNA,5.0,Autodidacta,Data Science,21573.0,profiles
PER-90380,18.0,Córdoba,Argentina,TypeScript|Python|Scala,.NET,Unknown,0.0,Tecnólogo,Data Science,17727.0,profiles
PER-90381,25.0,BARRANQUILLA,Colombia,R|C#|TypeScript,Angular|Spark,Cisco CCNA,5.0,Técnico,Frontend,11851.0,profiles
PER-90382,36.0,Cusco,Perú,java|c#,FastAPI,None|Azure Fundamentals,7.0,Posgrado,Frontend,11107.0,profiles
PER-90383,33.0,Valencia,España,Java|PHP,Vue,AWS CCP|Cisco CCNA,2.0,Tecnólogo,Frontend,35110.0,profiles
PER-90384,18.0,valencia,España,PHP|Scala|Swift,React|Angular,AWS CCP|Scrum Master,5.0,Técnico,Data Science,32028.0,profiles
PER-90385,30.0,Valparaíso,Chile,Go|JavaScript,Flask,GCP ACE,4.0,Posgrado,BI/Analytics,25731.0,profiles
PER-90386,24.0,Lima,Perú,Java|Swift,Vue|Spark,Cisco CCNA,2.0,Posgrado,Data Science,22194.0,profiles
PER-90387,39.0,BUENOS AIRES,Argentina,Swift|Scala,Flask,AWS CCP|Cisco CCNA,3.0,Autodidacta,Cloud,35181.0,profiles
PER-90388,37.0,Valparaíso,Chile,Java|Go|JavaScript,Laravel|Vue,Scrum Master,0.0,Posgrado,DevOps,25635.0,profiles
PER-90389,25.0,Concepción,Chile,Java|R,Angular|Spring,AWS CCP,2.0,Pregrado,Frontend,14763.0,profiles
PER-90390,22.0,Córdoba,Argentina,TypeScript|Scala,Vue,Cisco CCNA,2.0,Autodidacta,Data Science,21787.0,profiles
PER-90391,24.0,Arequipa,Perú,Scala|Python,Laravel,GCP ACE|AWS CCP,1.0,Posgrado,Backend,20126.0,profiles
PER-90392,29.0,Austin,USA,JavaScript,Django|Spring,Unknown,4.0,Tecnólogo,Data Science,87.202,profiles
PER-90393,31.0,Seattle,USA,PHP|TypeScript,Node.js|Flask,Unknown,2.0,Técnico,BI/Analytics,91473.0,profiles
PER-90394,37.0,???,España,C#,Flask,None,3.0,Posgrado,BI/Analytics,32.103,profiles
PER-90395,25.0,Santiago,Chile,Go|Swift,.NET,AWS CCP,1.0,Técnico,Frontend,35165.0,profiles
PER-90396,30.0,Rosario,Argentina,Scala,.NET,AWS CCP,1.0,Técnico,BI/Analytics,23868.0,profiles
PER-90397,23.0,???,México,kotlin|javascript|c#,Flask|Laravel,AWS CCP,1.0,Tecnólogo,DevOps,13238.0,profiles
PER-90398,20.0,Bogotá,Colombia,Java,.NET|Django,Unknown,3.0,Autodidacta,BI/Analytics,13569.0,profiles
PER-90399,28.0,Cusco,Perú,kotlin,.NET,Azure Fundamentals|Scrum Master,4.0,Autodidacta,Cloud,28.178,profiles
PER-90400,36.0,Valencia,España,Kotlin,Vue,Cisco CCNA,2.0,Posgrado,Backend,40.104,profiles
PER-90401,18.0,Barranquilla,Colombia,C#|Python,Django,Scrum Master,2.0,Autodidacta,IA,10871.0,profiles
PER-90402,23.0,Arequipa,Perú,Go,Flask|Spring,Azure Fundamentals,2.0,Autodidacta,Cloud,15434.0,profiles
PER-90403,37.0,Concepción,Chile,Kotlin|Java|Python,FastAPI,AWS CCP|Cisco CCNA,0.0,Posgrado,Backend,39929.0,profiles
PER-90404,41.0,Concepción,Chile,Go|JavaScript,Django,Azure Fundamentals,1.0,Pregrado,IA,31.381,profiles
PER-90405,34.0,New York,USA,PHP,FastAPI|Django,Unknown,5.0,Tecnólogo,Frontend,,profiles
PER-90406,34.0,Bogotá,Colombia,R|Java,Node.js|Laravel,Scrum Master,4.0,Tecnólogo,BI/Analytics,19.89,profiles
PER-90407,,Puebla,México,Kotlin|Python,Vue,Azure Fundamentals|Cisco CCNA,0.0,Técnico,IA,27205.0,profiles
PER-90408,34.0,Miami,USA,Swift|TypeScript|Kotlin,Spring,Azure Fundamentals,0.0,Tecnólogo,Cloud,,profiles
PER-90409,39.0,Madrid,España,R|TypeScript,Vue|.NET,Cisco CCNA,5.0,Tecnólogo,BI/Analytics,40025.0,profiles
PER-90410,34.0,CALI,Colombia,Java,Node.js,AWS CCP,8.0,Pregrado,Frontend,18691.0,profiles
PER-90411,23.0,Valparaiso,Chile,Kotlin|R|Go,Spring|Node.js,Azure Fundamentals|GCP ACE,5.0,Autodidacta,IA,20872.0,profiles
PER-90412,19.0,Valencia,España,Java|R,Node.js|Laravel,GCP ACE|Azure Fundamentals,1.0,Tecnólogo,BI/Analytics,47296.0,profiles
PER-90413,30.0,Bogotá,Colombia,Go|Kotlin,Spring,Azure Fundamentals,3.0,Técnico,Ciberseguridad,8071.0,profiles
