ID_Persona,Edad,Ciudad,País,Lenguajes_Dominio,Frameworks_Dominio,Certificaciones,Años_Experiencia,Nivel_Educativo,Área_Trabajo_Actual,Salario_Actual_USD
PER-90224,31,Miami,USA,C#|JavaScript,Spark,GCP ACE,4.0,Tecnólogo,Data Science,USD 70943
PER-90225,30,CDMX,México,r|c#|scala,Angular,Scrum Master,4.0,Posgrado,IA,US$ 19.639
PER-90226,18,Madrid,España,PHP|C#,FastAPI|React,Scrum Master,0.0,Posgrado,DevOps,US$ 17.824
PER-90227,42,CDMX,México,PHP|Java,Spark,AWS CCP|Cisco CCNA,3.0,Autodidacta,BI/Analytics,"$26,987"
PER-90228,34,Bogotá,Colombia,Kotlin|TypeScript,Angular,AWS CCP|Scrum Master ,5.0,Pregrado,Data Science,"$11,565"
PER-90229,25,Cusco,Perú,Scala,Angular|Spark,Scrum Master,5.0,Autodidacta,IA,$14225
PER-90230,26,Valencia,España,JavaScript|Kotlin,Django|Node.js,None,3.0,Tecnólogo,IA,$38342
PER-90231,29,Cartagena,Colombia,PHP|TypeScript|C#,Spring|Spark,Azure Fundamentals,3.0,Pregrado,Backend,$16494
PER-90232,,San Francisco,USA,Scala|C#|R,Angular|FastAPI,AWS CCP|Cisco CCNA,0.0,Posgrado,Cloud,USD 89461
PER-90233,23,???,España,R|PHP,Laravel|FastAPI,Azure Fundamentals|GCP ACE,0.0,Autodidacta,Backend,40856
PER-90234,37,Valparaíso,Chile,go|c#|r,Flask,AWS CCP|Azure Fundamentals,4.0,Técnico,Ciberseguridad,30026
PER-90235,27,Lima,Perú,Go|Python,Spring|Spark,None|AWS CCP,8.0,Técnico,IA,US$ 20.614
PER-90236,27,San Francisco,USA,kotlin|typescript,Angular,AWS CCP,4.0,Autodidacta,BI/Analytics,"$64,561"
PER-90237,20,Bucaramanga,Colombia,PHP|Swift,Laravel|Spark,None|GCP ACE,0.0,Posgrado,Data Science,USD 22117
PER-90238,28,Barcelona ,España,C#,Laravel|Django,Cisco CCNA ,6.0,Tecnólogo,Data Science,US$ 36.576
PER-90239,32,bogotá,Colombia,c#|kotlin|php,FastAPI|Flask,Azure Fundamentals,3.0,Tecnólogo,Backend,$18957
PER-90240,30,Arequipa,Perú,TypeScript|Kotlin,Flask|Django,Azure Fundamentals ,0.0,Pregrado,Backend,USD 29201
PER-90241,30,seattle,USA,C#,Spark|Laravel,GCP ACE ,5.0,Posgrado,Cloud,"$123,828"
PER-90242,22,guadalajara,México,Python|Scala|Java,Node.js|Laravel,None|Scrum Master,2.0,Técnico,DevOps,USD 16626
PER-90243,37,Lima,Perú,TypeScript|Java,Django,GCP ACE,0.0,Pregrado,Backend,USD 16176
PER-90244,29,Valencia,España,r|typescript,Django,Cisco CCNA,2.0,Autodidacta,Frontend,US$ 26.973
PER-90245,30,Rosario,Argentina,C#|Java,.NET|Vue,Cisco CCNA,5.0,Autodidacta,Data Science,$19690
PER-90246,34,Buenos Aires,Argentina,Python|Java,.NET|Spring,Azure Fundamentals,0.0,Autodidacta,Cloud,$24323
PER-90247,32,Arequipa,Perú,Go|PHP,Angular,Cisco CCNA|AWS CCP,2.0,Tecnólogo,Ciberseguridad,$9668
PER-90248,37,Rosario,Argentina,C#,Laravel|FastAPI,AWS CCP,0.0,Tecnólogo,BI/Analytics,23137
PER-90249,25,ROSARIO,Argentina,Kotlin|PHP,Spring|Django,Scrum Master ,1.0,Pregrado,IA,"$14,518"
PER-90250,24,Miami,USA,C#,Laravel|React,AWS CCP,3.0,Tecnólogo,IA,$72286
PER-90251,31,Cali,Colombia,Kotlin|Swift|JavaScript,Vue,GCP ACE ,3.0,Posgrado,BI/Analytics,US$ 11.309
PER-90252,40,Valparaíso,Chile,r|javascript,FastAPI|Django,AWS CCP ,1.0,Autodidacta,Data Science,US$ 17.505
PER-90253,35,???,Chile,Kotlin|Java|PHP,Node.js|Laravel,AWS CCP ,3.0,Técnico,Backend,34751
PER-90254,31,Rosario,Argentina,Scala|C#,Spark|Spring,GCP ACE|None,2.0,Tecnólogo,BI/Analytics,USD 27015
PER-90255,21,Miami,USA,Go,FastAPI,Scrum Master|Cisco CCNA,2.0,Pregrado,Backend,$82550
PER-90256,18,Barranquilla,Colombia,typescript|php,Angular|Vue,GCP ACE,4.0,Posgrado,Backend,$17924
PER-90257,27,Guadalajara,México,Scala|Swift,Angular|Spring,AWS CCP,5.0,Pregrado,Cloud,$25674
PER-90258,25,valparaíso,Chile,php,Spring,Scrum Master,0.0,Tecnólogo,Cloud,USD 34243
PER-90259,32,Arequipa,Perú,R|Swift|Scala,React|Laravel,None|AWS CCP,5.0,Pregrado,IA,US$ 15.373
PER-90260,31,Miami,USA,Java|PHP,Django,Cisco CCNA,5.0,Posgrado,IA,USD 112343
PER-90261,27,Valparaíso,Chile,Java|Kotlin|PHP,Vue,None,1.0,Autodidacta,BI/Analytics,"$17,145"
PER-90262,23,Santiago,Chile,C#|TypeScript,React,GCP ACE|Azure Fundamentals,,Pregrado,Frontend,US$ 20.470
PER-90263,26,Guadalajara,México,R|PHP,Laravel|Angular,AWS CCP,5.0,Autodidacta,Cloud,USD 23944
PER-90264,37,Puebla,México,Python|C#,Spring,Cisco CCNA,3.0,Tecnólogo,DevOps,17298
PER-90265,30,New York,USA,Java|Kotlin|C#,React,None|AWS CCP,5.0,Autodidacta,Cloud,110115
PER-90266,18,Valencia,España,JavaScript|C#|Scala,Spring,None,0.0,Tecnólogo,Data Science,$31334
PER-90267,33,Seattle,USA,javascript|kotlin,Spring,None,2.0,Técnico,IA,$114784
PER-90268,41,Sevilla,España,R|PHP,Laravel|.NET,AWS CCP|GCP ACE,2.0,Pregrado,IA,"$29,069"
PER-90269,26,???,USA,PHP|Kotlin,Django,Cisco CCNA|None,5.0,Tecnólogo,Cloud,163417
PER-90270,27,Lima,Perú,Swift|PHP,Spring,Azure Fundamentals,5.0,Autodidacta,Frontend,10753
PER-90271,18,Concepción,Chile,Kotlin,Vue,Scrum Master,4.0,Pregrado,Data Science,"$19,023"
PER-90272,,Monterrey,México,JavaScript|C#,Spark|Flask,AWS CCP|Cisco CCNA,4.0,Pregrado,IA,USD 17909
PER-90273,36,Monterrey,México,R|TypeScript,Spring|.NET,Scrum Master,1.0,Tecnólogo,BI/Analytics,$22046
PER-90274,32,Bucaramanga,Colombia,Scala|C#,Angular,None,0.0,Posgrado,Ciberseguridad,USD 17716
PER-90275,32,New York,USA,JavaScript,Vue,AWS CCP|GCP ACE,3.0,Pregrado,Backend,"$81,777"
PER-90276,33,Puebla,México,R|TypeScript,Laravel|Angular,Cisco CCNA ,3.0,Autodidacta,Cloud,USD 20832
PER-90277,26,Sevilla,España,R|C#,Laravel|.NET,Azure Fundamentals|Scrum Master,5.0,Autodidacta,Ciberseguridad,US$ 31.844
PER-90278,26,Puebla,México,Go|R|JavaScript,Django,Azure Fundamentals,3.0,Pregrado,Backend,"$21,086"
PER-90279,31,Rosario,Argentina,Java|R,FastAPI,None|Cisco CCNA,2.0,Autodidacta,DevOps,$30990
PER-90280,18,Medellín,Colombia,TypeScript|Java,React|.NET,Cisco CCNA,1.0,Pregrado,Cloud,USD 8262
PER-90281,29,Guadalajara,México,php|python,Node.js|Angular,AWS CCP|None,2.0,Autodidacta,BI/Analytics,"$27,796"
PER-90282,30,Rosario,Argentina,go|python,Spark,Cisco CCNA,3.0,Tecnólogo,BI/Analytics,$17333
PER-90283,,???,Chile,swift|r,Node.js,Scrum Master,4.0,Pregrado,BI/Analytics,USD 35554
PER-90284,27,Cartagena,Colombia,Kotlin|JavaScript|Python,React,Azure Fundamentals,6.0,Posgrado,IA,US$ 12.688
PER-90285,28,Puebla,México,Swift|PHP|C#,Spring|Node.js,None,2.0,Autodidacta,Cloud,US$ 27.568
PER-90286,38,Barcelona,España,PHP|TypeScript|Python,.NET,None,6.0,Pregrado,IA,US$ 56.527
PER-90287,27,bogotá,Colombia,Java,FastAPI,Azure Fundamentals|AWS CCP,0.0,Pregrado,Cloud,US$ 22.125
PER-90288,39,Cusco,Perú,TypeScript|PHP,React,Scrum Master,1.0,Autodidacta,Cloud,13838
PER-90289,37,Austin,USA,typescript|kotlin|scala,Node.js|Laravel,Scrum Master,4.0,Técnico,DevOps,$97586
PER-90290,38,Miami,USA,Kotlin,Node.js|Spring,GCP ACE,1.0,Posgrado,Cloud,USD 82604
PER-90291,31,Cartagena,Colombia,r|kotlin|php,Laravel,None,5.0,Pregrado,Data Science,14775
PER-90292,21,Buenos Aires,Argentina,C#|Python|JavaScript,Spark|Node.js,Cisco CCNA,3.0,Autodidacta,Ciberseguridad,27927
PER-90293,26,CDMX,México,TypeScript,Laravel|Flask,Azure Fundamentals,3.0,Posgrado,Cloud,US$ 17.838
PER-90294,32,Santiago,Chile,JavaScript|TypeScript,FastAPI|Flask,Scrum Master,4.0,Pregrado,Backend,USD 21784
PER-90295,32,Miami,USA,Swift|Go,Flask,GCP ACE,2.0,Autodidacta,Backend,$136466
PER-90296,23,Lima ,Perú,R|Swift,Django|Laravel,GCP ACE,2.0,Pregrado,Frontend,$11593
PER-90297,26,CDMX,México,JavaScript|TypeScript|R,Vue|FastAPI,AWS CCP,1.0,Tecnólogo,DevOps,$16255
PER-90298,35,Barranquilla,Colombia,Go|Scala|Python,.NET,AWS CCP,2.0,Tecnólogo,DevOps,8219
PER-90299,30,Santiago,Chile,Go|PHP,Laravel|Node.js,None|AWS CCP,4.0,Técnico,Cloud,$32547
PER-90300,18,Austin,USA,swift|kotlin|c#,Node.js,Scrum Master,3.0,Técnico,Frontend,"$107,652"
PER-90301,29,Rosario,Argentina,PHP|Java|TypeScript,React,Azure Fundamentals|Scrum Master,4.0,Pregrado,Data Science,$16017
PER-90302,25,Puebla,México,TypeScript|Java|JavaScript,FastAPI|React,Azure Fundamentals,3.0,Posgrado,Frontend,$27865
PER-90303,37,Arequipa,Perú,C#,Spark|Laravel,AWS CCP,7.0,Técnico,DevOps,USD 11790
PER-90304,38,Valparaiso,Chile,python,Vue|Spring,GCP ACE,6.0,Posgrado,Data Science,"$24,383"
PER-90305,24,Santiago,Chile,Kotlin,.NET,AWS CCP|GCP ACE,2.0,Posgrado,Ciberseguridad,$33750
PER-90306,29,???,Colombia,Scala|PHP,Laravel|.NET,Cisco CCNA,0.0,Posgrado,IA,$16350
PER-90307,20,Concepción,Chile,JavaScript|Java,Angular|FastAPI,AWS CCP|Cisco CCNA,4.0,Pregrado,Cloud,"$21,865"
PER-90308,28,Austin,USA,Swift|Scala,.NET|Django,Azure Fundamentals|GCP ACE,1.0,Autodidacta,DevOps,"$86,407"
PER-90309,26,???,España,TypeScript|Scala,Spark,Cisco CCNA|AWS CCP,3.0,Posgrado,Ciberseguridad,$30946
PER-90310,36,Guadalajara,México,kotlin|c#,Vue,AWS CCP,5.0,Técnico,DevOps,31274
PER-90311,37,Austin,USA,Python|Go,FastAPI,GCP ACE,5.0,Técnico,Ciberseguridad,$80881
PER-90312,27,???,Colombia,TypeScript|R|Go,Django|React,AWS CCP,1.0,Técnico,BI/Analytics,US$ 15.568
PER-90313,27,???,Perú,Kotlin|Swift|Java,Laravel|Vue,Azure Fundamentals,5.0,Tecnólogo,Frontend,US$ 13.769
PER-90314,30,Cartagena,Colombia,Python|JavaScript,React|Flask,GCP ACE|None,4.0,Pregrado,Ciberseguridad,11708
PER-90315,31,barcelona,España,JavaScript|Java|TypeScript,Vue,None|AWS CCP,2.0,Tecnólogo,BI/Analytics,$41985
PER-90316,28,Medellín,Colombia,PHP|TypeScript|Kotlin,Spring|Node.js,GCP ACE|Scrum Master,4.0,Pregrado,Frontend,US$ 10.343
PER-90317,31,Cartagena,Colombia,Java|TypeScript,Laravel,GCP ACE|AWS CCP,1.0,Posgrado,Backend,9057
PER-90318,42,Valencia,España,scala|typescript|php,FastAPI|Vue,None,0.0,Posgrado,IA,$42226
PER-90319,23,???,Perú,PHP|Scala,FastAPI,GCP ACE,4.0,Autodidacta,Ciberseguridad,"$18,026"
PER-90320,34,Valencia,España,Swift|Scala,Laravel|Django,GCP ACE|Scrum Master,1.0,Autodidacta,Ciberseguridad,US$ 61.204
PER-90321,27,BARRANQUILLA,Colombia,Go,Node.js|.NET,GCP ACE,4.0,Pregrado,Backend,17770
PER-90322,28,Barcelona,España,R,Vue|Spark,Scrum Master,0.0,Pregrado,DevOps,40149
PER-90323,34,Rosario ,Argentina,Python|JavaScript,React,AWS CCP|GCP ACE ,0.0,Autodidacta,DevOps,17703
PER-90324,39,Cusco,Perú,Scala|Go,Vue|Laravel,GCP ACE,3.0,Tecnólogo,Ciberseguridad,$14334
PER-90325,33,Concepción ,Chile,Python|PHP,Django,None|Scrum Master,4.0,Pregrado,DevOps,US$ 22.409
PER-90326,26,Cali,Colombia,R|Java,FastAPI|.NET,None,3.0,Autodidacta,Ciberseguridad,20918
PER-90327,26,Seattle,USA,Kotlin,FastAPI|Django,Azure Fundamentals,1.0,Técnico,Backend,"$79,527"
PER-90328,33,Madrid,España,JavaScript,Flask,None|AWS CCP ,3.0,Tecnólogo,Backend,"$36,968"
PER-90329,31,medellín,Colombia,C#|R,Django,GCP ACE|AWS CCP,5.0,Técnico,Cloud,USD 9099
PER-90330,27,CDMX,México,Go|Python|Kotlin,FastAPI,Cisco CCNA|None,1.0,Técnico,Backend,$9617
PER-90331,30,Madrid,España,kotlin|python,Django,Cisco CCNA,2.0,Técnico,DevOps,"$37,471"
PER-90332,22,Barcelona,España,TypeScript,Django,Azure Fundamentals|Cisco CCNA,4.0,Autodidacta,DevOps,"$32,618"
PER-90333,30,Cartagena ,Colombia,JavaScript|Scala,Laravel|Vue,Cisco CCNA,4.0,Tecnólogo,Frontend,"$10,801"
PER-90334,31,cusco,Perú,JavaScript|Go,Django,Cisco CCNA|Azure Fundamentals,6.0,Tecnólogo,IA,$13842
PER-90335,36,Madrid,España,Go|TypeScript|JavaScript,Django,AWS CCP,2.0,Tecnólogo,Ciberseguridad,USD 74863
PER-90336,28,???,Argentina,JavaScript|PHP|Go,React|.NET,None,2.0,Pregrado,Data Science,USD 36344
PER-90337,18,Santiago,Chile,Kotlin|Java,Node.js|Django,Azure Fundamentals|Cisco CCNA,5.0,Pregrado,DevOps,21335
PER-90338,28,santiago,Chile,TypeScript,Node.js|Flask,Scrum Master|Cisco CCNA,,Pregrado,Backend,"$18,636"
PER-90339,26,Buenos Aires,Argentina,Swift,Node.js,None ,2.0,Autodidacta,Frontend,USD 24860
PER-90340,30,CDMX,México,Java|Go|C#,.NET|Angular,None,6.0,Posgrado,Frontend,$25815
PER-90341,,Arequipa,Perú,C#|JavaScript,Django,Cisco CCNA,3.0,Posgrado,Ciberseguridad,"$18,231"
PER-90342,27,Cusco,Perú,TypeScript,FastAPI,AWS CCP|GCP ACE,5.0,Tecnólogo,IA,US$ 13.773
PER-90343,38,Lima ,Perú,PHP|Kotlin,React,None,3.0,Pregrado,Ciberseguridad,US$ 26.476
PER-90344,21,BUCARAMANGA,Colombia,Swift|Kotlin,Node.js,AWS CCP,1.0,Tecnólogo,IA,$13318
PER-90345,44,???,Chile,Kotlin|C#|PHP,Angular|Flask,Scrum Master ,5.0,Posgrado,Backend,27051
PER-90346,31,monterrey,México,PHP|Go|JavaScript,Spark|FastAPI,Azure Fundamentals,3.0,Técnico,IA,$32209
PER-90347,31,Cusco,Perú,Swift,Django|Spark,Scrum Master,0.0,Posgrado,IA,USD 18115
PER-90348,34,Rosario,Argentina,scala|python|typescript,Django,Azure Fundamentals|Cisco CCNA ,4.0,Tecnólogo,Backend,"$18,680"
PER-90349,39,San Francisco,USA,Scala,Vue,Cisco CCNA,5.0,Posgrado,Data Science,78471
PER-90350,30,Cartagena,Colombia,R|Scala|C#,Laravel|FastAPI,None|Azure Fundamentals,4.0,Tecnólogo,Cloud,USD 19532
PER-90351,22,Miami,USA,c#|javascript|php,Angular,Azure Fundamentals,0.0,Tecnólogo,Backend,USD 84831
PER-90352,29,Lima,Perú,Swift|Kotlin|JavaScript,FastAPI|React,Scrum Master,7.0,Autodidacta,Data Science,$17783
PER-90353,18,CDMX,México,Go|Scala,Vue,Scrum Master|Azure Fundamentals,3.0,Posgrado,IA,US$ 20.116
PER-90354,,???,España,Python,React|Django,GCP ACE,3.0,Pregrado,Data Science,US$ 34.186
PER-90355,26,Valencia,España,Python|Swift|R,Laravel|React,Scrum Master|GCP ACE,4.0,Pregrado,IA,US$ 24.908
PER-90356,31,Santiago,Chile,php,.NET|Node.js,GCP ACE,2.0,Posgrado,DevOps,15501
PER-90357,24,Sevilla,España,python,Laravel|Django,GCP ACE|None,2.0,Técnico,Cloud,USD 40359
PER-90358,22,San Francisco,USA,Scala|PHP,Node.js|Spring,GCP ACE,4.0,Tecnólogo,Backend,73959
PER-90359,24,Buenos Aires ,Argentina,Scala,Django|React,Azure Fundamentals,3.0,Tecnólogo,Frontend,$22361
PER-90360,29,Córdoba,Argentina,Java|Scala,Laravel|Node.js,AWS CCP|Scrum Master ,4.0,Posgrado,Backend,32814
PER-90361,27,Valencia,España,JavaScript|Python,Flask,Azure Fundamentals,3.0,Autodidacta,Cloud,US$ 41.992
PER-90362,27,Concepción,Chile,C#|TypeScript,Django,GCP ACE,3.0,Técnico,Cloud,"$24,245"
PER-90363,25,Cali,Colombia,Python|Go|TypeScript,FastAPI|Spring,Cisco CCNA,5.0,Pregrado,DevOps,$11608
PER-90364,34,Arequipa ,Perú,JavaScript,Spark|FastAPI,GCP ACE|Cisco CCNA,0.0,Pregrado,BI/Analytics,20905
PER-90365,21,Arequipa,Perú,Scala,Spark|Vue,Cisco CCNA,5.0,Tecnólogo,Frontend,29145
PER-90366,34,Barcelona,España,R|Java|Kotlin,React|Flask,None,3.0,Autodidacta,DevOps,"$26,172"
PER-90367,28,Arequipa,Perú,kotlin|python|java,Flask,Cisco CCNA|GCP ACE,2.0,Pregrado,BI/Analytics,USD 31270
PER-90368,35,???,México,Swift|Python,Vue,Azure Fundamentals,3.0,Tecnólogo,Frontend,28188
PER-90369,27,Austin,USA,Swift|Java|TypeScript,FastAPI|React,Scrum Master|GCP ACE,5.0,Autodidacta,Cloud,"$66,962"
PER-90370,30,Córdoba,Argentina,Kotlin,Flask|Django,AWS CCP|Azure Fundamentals,0.0,Tecnólogo,DevOps,US$ 38.256
PER-90371,,Arequipa,Perú,Scala,Django|Flask,Azure Fundamentals|Scrum Master,0.0,Tecnólogo,Frontend,"$20,867"
PER-90372,28,Córdoba,Argentina,Go,Vue|Spark,AWS CCP,5.0,Técnico,Data Science,US$ 34.085
PER-90373,32,???,USA,C#,Laravel|Spark,GCP ACE,4.0,Pregrado,Data Science,$148747
PER-90374,26,Madrid,España,Scala|R,Spark|Laravel,Azure Fundamentals,2.0,Pregrado,Frontend,USD 34213
PER-90375,20,Austin,USA,C#|R|Swift,Laravel,AWS CCP,2.0,Pregrado,Data Science,US$ 122.935
PER-90376,25,Arequipa,Perú,Go|Scala,Spark|Django,None,0.0,Tecnólogo,BI/Analytics,22572
PER-90377,33,???,Perú,Go,Node.js|Django,Scrum Master,2.0,Posgrado,Backend,USD 19737
PER-90378,32,Valencia,España,Swift,Node.js|Django,None,3.0,Posgrado,Backend,56108
PER-90379,27,Buenos Aires,Argentina,Scala|Go|C#,React|Django,Cisco CCNA,5.0,Autodidacta,Data Science,USD 21573
PER-90380,18,Córdoba,Argentina,TypeScript|Python|Scala,.NET,None,0.0,Tecnólogo,Data Science,17727
PER-90381,25,BARRANQUILLA,Colombia,R|C#|TypeScript,Angular|Spark,Cisco CCNA,5.0,Técnico,Frontend,"$11,851"
PER-90382,36,Cusco,Perú,java|c#,FastAPI,None|Azure Fundamentals,7.0,Posgrado,Frontend,$11107
PER-90383,33,Valencia,España,Java|PHP,Vue,AWS CCP|Cisco CCNA,2.0,Tecnólogo,Frontend,$35110
PER-90384,18,valencia,España,PHP|Scala|Swift,React|Angular,AWS CCP|Scrum Master,5.0,Técnico,Data Science,32028
PER-90385,30,Valparaíso,Chile,Go|JavaScript,Flask,GCP ACE,4.0,Posgrado,BI/Analytics,25731
PER-90386,24,Lima,Perú,Java|Swift,Vue|Spark,Cisco CCNA,2.0,Posgrado,Data Science,"$22,194"
PER-90387,39,BUENOS AIRES,Argentina,Swift|Scala,Flask,AWS CCP|Cisco CCNA,3.0,Autodidacta,Cloud,"$35,181"
PER-90388,37,Valparaíso,Chile,Java|Go|JavaScript,Laravel|Vue,Scrum Master,0.0,Posgrado,DevOps,USD 25635
PER-90389,25,Concepción,Chile,Java|R,Angular|Spring,AWS CCP,2.0,Pregrado,Frontend,$14763
PER-90390,22,Córdoba,Argentina,TypeScript|Scala,Vue,Cisco CCNA,2.0,Autodidacta,Data Science,USD 21787
PER-90391,24,Arequipa,Perú,Scala|Python,Laravel,GCP ACE|AWS CCP,1.0,Posgrado,Backend,$20126
PER-90392,29,Austin,USA,JavaScript,Django|Spring,None,4.0,Tecnólogo,Data Science,US$ 87.202
PER-90393,31,Seattle ,USA,PHP|TypeScript,Node.js|Flask,None,2.0,Técnico,BI/Analytics,$91473
PER-90394,37,???,España,C#,Flask,None ,3.0,Posgrado,BI/Analytics,US$ 32.103
PER-90395,25,Santiago,Chile,Go|Swift,.NET,AWS CCP ,1.0,Técnico,Frontend,$35165
PER-90396,30,Rosario,Argentina,Scala,.NET,AWS CCP,1.0,Técnico,BI/Analytics,"$23,868"
PER-90397,23,???,México,kotlin|javascript|c#,Flask|Laravel,AWS CCP,1.0,Tecnólogo,DevOps,"$13,238"
PER-90398,20,Bogotá,Colombia,Java,.NET|Django,None,3.0,Autodidacta,BI/Analytics,USD 13569
PER-90399,28,Cusco,Perú,kotlin,.NET,Azure Fundamentals|Scrum Master,4.0,Autodidacta,Cloud,US$ 28.178
PER-90400,36,Valencia,España,Kotlin,Vue,Cisco CCNA,2.0,Posgrado,Backend,US$ 40.104
PER-90401,18,Barranquilla,Colombia,C#|Python,Django,Scrum Master,2.0,Autodidacta,IA,10871
PER-90402,23,Arequipa,Perú,Go,Flask|Spring,Azure Fundamentals,2.0,Autodidacta,Cloud,"$15,434"
PER-90403,37,Concepción,Chile,Kotlin|Java|Python,FastAPI,AWS CCP|Cisco CCNA,0.0,Posgrado,Backend,USD 39929
PER-90404,41,Concepción,Chile,Go|JavaScript,Django,Azure Fundamentals ,1.0,Pregrado,IA,US$ 31.381
PER-90405,34,New York,USA,PHP,FastAPI|Django,None,5.0,Tecnólogo,Frontend,$129503
PER-90406,34,Bogotá,Colombia,R|Java,Node.js|Laravel,Scrum Master,4.0,Tecnólogo,BI/Analytics,US$ 19.890
PER-90407,,Puebla ,México,Kotlin|Python,Vue,Azure Fundamentals|Cisco CCNA,0.0,Técnico,IA,USD 27205
PER-90408,34,Miami,USA,Swift|TypeScript|Kotlin,Spring,Azure Fundamentals,0.0,Tecnólogo,Cloud,135446
PER-90409,39,Madrid ,España,R|TypeScript,Vue|.NET,Cisco CCNA,5.0,Tecnólogo,BI/Analytics,$40025
PER-90410,34,CALI,Colombia,Java,Node.js,AWS CCP,8.0,Pregrado,Frontend,"$18,691"
PER-90411,23,Valparaiso,Chile,Kotlin|R|Go,Spring|Node.js,Azure Fundamentals|GCP ACE,5.0,Autodidacta,IA,$20872
PER-90412,19,Valencia,España,Java|R,Node.js|Laravel,GCP ACE|Azure Fundamentals,1.0,Tecnólogo,BI/Analytics,$47296
PER-90413,30,Bogotá,Colombia,Go|Kotlin,Spring,Azure Fundamentals,3.0,Técnico,Ciberseguridad,8071
PER-90414,28,Córdoba,Argentina,Python|JavaScript|Swift,Flask,AWS CCP,2.0,Tecnólogo,DevOps,$13402
PER-90415,40,???,México,Java|Swift,Flask,None|Scrum Master,5.0,Pregrado,DevOps,USD 24988
PER-90416,25,Cartagea,Colombia,Python|Kotlin|Swift,Django|.NET,None ,0.0,Técnico,Frontend,$11727
PER-90417,37,Concepción,Chile,TypeScript|Go,Vue|Angular,Cisco CCNA,0.0,Pregrado,Backend,US$ 37.737
PER-90418,23,???,Perú,Python|Kotlin|TypeScript,Node.js|Laravel,AWS CCP|Azure Fundamentals,0.0,Tecnólogo,Frontend,US$ 27.565
PER-90419,29,Lima,Perú,Kotlin|PHP,Spring,Scrum Master,4.0,Autodidacta,DevOps,US$ 26.423
PER-90420,29,Puebla,México,Go|C#,Django,Scrum Master,6.0,Posgrado,IA,"$21,239"
PER-90421,28,Bogotá,Colombia,php|c#|r,React|Vue,Cisco CCNA|None,3.0,Posgrado,IA,$9640
PER-90422,29,Arequipa,Perú,Kotlin|Scala,React|Vue,GCP ACE|Azure Fundamentals,0.0,Técnico,DevOps,$13601
PER-90423,20,Austin,USA,R|Python,Flask,None|Cisco CCNA,1.0,Autodidacta,BI/Analytics,USD 97211
PER-90424,37,Arequipa ,Perú,Scala,Vue|FastAPI,Azure Fundamentals,0.0,Técnico,Frontend,"$25,925"
PER-90425,26,Santiago,Chile,C#|JavaScript|Go,.NET,None,4.0,Pregrado,Backend,$22716
PER-90426,30,???,Argentina,C#|Go,Flask,Azure Fundamentals,7.0,Autodidacta,IA,$21627
PER-90427,25,Concepción,Chile,Go|PHP,.NET,Azure Fundamentals|AWS CCP,6.0,Pregrado,Cloud,US$ 31.337
PER-90428,21,Guadalajara,México,Go,Vue,Cisco CCNA,1.0,Autodidacta,Frontend,28722
PER-90429,24,Valparaíso,Chile,R|Java,React|FastAPI,GCP ACE,3.0,Técnico,Cloud,$34464
PER-90430,22,AREQUIPA,Perú,Java,Vue|Angular,Azure Fundamentals|None,3.0,Posgrado,Ciberseguridad,"$15,150"
PER-90431,34,Santiago,Chile,Java,Vue|Flask,None,3.0,Autodidacta,IA,$29517
PER-90432,34,Madrid,España,R|Swift,Flask|Angular,GCP ACE ,3.0,Autodidacta,Cloud,US$ 30.211
PER-90433,34,Concepción,Chile,Swift|JavaScript|PHP,React,None|AWS CCP,6.0,Autodidacta,IA,$39583
PER-90434,32,Sevilla,España,Scala|PHP|Java,Angular,Cisco CCNA,4.0,Pregrado,Ciberseguridad,$30575
PER-90435,21,Cusco,Perú,C#|Java|Scala,FastAPI,GCP ACE,4.0,Tecnólogo,Data Science,US$ 11.795
PER-90436,20,Cartagena,Colombia,Kotlin,Flask,Cisco CCNA,4.0,Autodidacta,Ciberseguridad,USD 11691
PER-90437,18,BUENOS AIRES,Argentina,Kotlin|Java,.NET|React,GCP ACE,2.0,Autodidacta,Ciberseguridad,"$18,627"
PER-90438,42,Valencia,España,Kotlin|Go,Laravel,Scrum Master|Cisco CCNA,4.0,Posgrado,Cloud,31919
PER-90439,28,Puebla,México,C#,.NET,Azure Fundamentals|Cisco CCNA,2.0,Posgrado,DevOps,$15918
PER-90440,20,Barcelona,España,Kotlin|JavaScript|Swift,Angular|Django,GCP ACE ,0.0,Autodidacta,IA,$33055
PER-90441,25,Barranquilla,Colombia,Java|Scala,Django,None|Cisco CCNA,4.0,Posgrado,Data Science,"$9,545"
PER-90442,31,Medellín,Colombia,python,Angular|Flask,Cisco CCNA,,Tecnólogo,BI/Analytics,"$19,091"
PER-90443,24,Medellín,Colombia,R,Node.js|Vue,Cisco CCNA,3.0,Posgrado,IA,"$7,000"
PER-90444,28,Cusco,Perú,Scala|Python,Spring|Angular,Scrum Master|Cisco CCNA,5.0,Pregrado,BI/Analytics,$13587
PER-90445,31,Rosario,Argentina,Java|Swift|Go,Laravel|React,None,3.0,Pregrado,Frontend,"$22,629"
PER-90446,37,Santiago,Chile,Java|PHP|R,Django,Azure Fundamentals|Cisco CCNA,0.0,Tecnólogo,BI/Analytics,US$ 22.349
PER-90447,24,Valencia,España,Scala|Kotlin|Python,Spring|Vue,AWS CCP,5.0,Pregrado,IA,53129
PER-90448,35,???,Chile,JavaScript|Java,Laravel|Flask,None,4.0,Técnico,Data Science,"$19,384"
